[03:12:00] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:01] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:05] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:05] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=danger_dark_trap_surface, capability=EMERGENCY_TELEPORT, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:05] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:07] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:10] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:10] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:12] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:13] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=danger_dark_trap_surface, capability=EMERGENCY_TELEPORT, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:15] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:15] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:17] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:20] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:20] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:21] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=danger_dark_trap_surface, capability=EMERGENCY_TELEPORT, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:22] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:25] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:25] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:27] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:30] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=danger_dark_trap_surface, capability=EMERGENCY_TELEPORT, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:30] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:30] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:32] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:35] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:35] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:38] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=danger_dark_trap_surface, capability=EMERGENCY_TELEPORT, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:39] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_entity_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:40] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:40] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=perception_snapshot, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
[03:12:45] [Server thread/INFO]: [AIBot] ACTION event=capability_decision bot=Bob {context=observable_block_query, capability=HIDDEN_BLOCK_SCAN, profile=strict_survival, allowed=false, reason=DENIED_STRICT_SURVIVAL}
